transaction_id,price,quantity,category,status
0,,8,C,confirmed
1,95.56,3,B,confirmed
2,75.88,8,B,confirmed
3,63.88,5,C,confirmed
4,24.04,1,A,confirmed
5,24.04,7,B,confirmed
6,15.23,5,A,confirmed
7,87.96,6,B,confirmed
8,64.1,6,C,confirmed
9,73.73,8,C,confirmed
10,,9,C,confirmed
11,97.29,2,B,confirmed
12,84.92,9,A,confirmed
13,29.11,9,A,confirmed
14,26.36,7,A,confirmed
15,26.51,1,B,confirmed
16,37.38,7,B,confirmed
17,57.23,5,B,confirmed
18,48.88,6,B,confirmed
19,36.21,7,B,confirmed
20,,5,A,confirmed
21,22.55,7,B,confirmed
22,36.29,9,B,confirmed
23,42.97,3,A,confirmed
24,51.05,8,B,confirmed
25,80.67,2,A,confirmed
26,27.97,7,A,confirmed
27,56.28,2,C,confirmed
28,63.32,4,C,confirmed
29,14.18,7,C,confirmed
30,,3,C,confirmed
31,25.35,2,B,confirmed
32,15.85,7,C,confirmed
33,95.4,1,A,confirmed
34,96.91,8,B,confirmed
35,82.76,3,C,confirmed
36,37.42,2,A,confirmed
37,18.79,3,B,confirmed
38,71.58,5,B,confirmed
39,49.61,8,C,confirmed
40,,7,B,confirmed
41,54.57,7,A,confirmed
42,13.09,7,B,confirmed
43,91.84,8,A,confirmed
44,33.29,1,B,confirmed
45,69.63,4,C,confirmed
46,38.05,6,A,confirmed
47,56.81,9,B,confirmed
48,59.2,2,B,confirmed
49,26.64,1,B,confirmed
50,,2,A,confirmed
51,79.76,7,A,confirmed
52,94.55,3,A,confirmed
53,90.53,2,C,confirmed
54,63.81,7,C,confirmed
55,92.97,2,A,confirmed
56,17.96,3,B,confirmed
57,27.64,7,C,confirmed
58,14.07,4,A,confirmed
59,39.28,1,B,confirmed
60,,5,C,confirmed
61,34.42,9,B,confirmed
62,84.59,8,B,confirmed
63,42.11,9,B,confirmed
64,35.28,9,B,confirmed
65,58.84,7,C,confirmed
66,22.68,4,C,confirmed
67,82.2,5,C,confirmed
68,16.71,1,A,confirmed
69,98.82,1,C,confirmed
70,,3,B,confirmed
71,27.88,8,C,confirmed
72,10.5,2,B,confirmed
73,83.39,4,A,confirmed
74,73.62,2,B,confirmed
75,75.61,5,B,confirmed
76,79.41,9,B,confirmed
77,16.66,1,A,confirmed
78,42.26,5,C,confirmed
79,20.43,9,C,confirmed
80,,1,A,confirmed
81,66.1,9,B,confirmed
82,39.78,8,C,confirmed
83,15.72,4,A,confirmed
84,37.99,5,C,confirmed
85,39.27,5,A,confirmed
86,75.66,6,B,confirmed
87,67.38,7,C,confirmed
88,89.85,8,A,confirmed
89,52.5,8,C,confirmed
90,,2,C,confirmed
91,74.19,9,C,confirmed
92,78.47,7,C,confirmed
93,60.51,4,A,confirmed
94,79.39,4,B,confirmed
95,54.44,8,A,confirmed
96,57.05,4,A,confirmed
97,48.48,6,A,confirmed
98,12.29,5,B,confirmed
99,19.71,3,C,confirmed
100,,2,C,confirmed
101,67.28,9,C,confirmed
102,38.29,9,B,confirmed
103,55.77,1,C,confirmed
104,91.68,3,B,confirmed
105,32.44,8,C,confirmed
106,46.93,6,C,confirmed
107,78.0,5,A,confirmed
108,30.59,5,B,confirmed
109,16.93,6,A,confirmed
110,,7,A,confirmed
111,24.51,1,A,confirmed
112,93.67,9,B,confirmed
113,82.73,3,B,confirmed
114,67.01,4,C,confirmed
115,88.43,1,A,confirmed
116,82.33,3,C,confirmed
117,26.79,2,A,confirmed
118,90.33,2,B,confirmed
119,58.54,1,B,confirmed
120,,8,B,confirmed
121,90.65,3,A,confirmed
122,38.62,3,B,confirmed
123,19.9,6,A,confirmed
124,30.51,8,C,confirmed
125,48.44,9,A,confirmed
126,83.62,9,C,confirmed
127,87.47,4,A,confirmed
128,10.63,5,C,confirmed
129,55.97,2,B,confirmed
130,,9,C,confirmed
131,29.99,8,B,confirmed
132,20.79,3,B,confirmed
133,40.39,9,C,confirmed
134,94.86,3,A,confirmed
135,39.09,9,A,confirmed
136,56.69,2,A,confirmed
137,73.27,9,A,confirmed
138,42.73,8,A,confirmed
139,97.46,9,B,confirmed
140,,5,A,confirmed
141,32.66,2,B,confirmed
142,54.75,8,B,confirmed
143,37.08,6,B,confirmed
144,35.64,8,C,confirmed
145,13.32,5,C,confirmed
146,64.86,2,B,confirmed
147,55.24,6,C,confirmed
148,14.63,5,A,confirmed
149,35.08,5,A,confirmed
150,,1,B,confirmed
151,31.56,2,A,confirmed
152,23.04,8,B,confirmed
153,54.05,3,B,confirmed
154,98.71,3,A,confirmed
155,31.78,8,C,confirmed
156,70.49,8,A,confirmed
157,78.55,2,A,confirmed
158,31.39,8,B,confirmed
159,75.54,1,B,confirmed
160,,6,B,confirmed
161,66.91,8,B,confirmed
162,67.02,3,C,confirmed
163,58.22,8,C,confirmed
164,18.13,1,C,confirmed
165,85.18,9,B,confirmed
166,38.87,9,B,confirmed
167,26.79,5,B,confirmed
168,13.67,4,C,confirmed
169,63.18,6,B,confirmed
170,,7,A,confirmed
171,11.49,5,A,confirmed
172,56.09,9,B,confirmed
173,30.38,3,A,confirmed
174,68.07,7,A,confirmed
175,25.69,5,C,confirmed
176,72.18,7,B,confirmed
177,44.81,2,B,confirmed
178,94.31,4,C,confirmed
179,22.38,2,A,confirmed
180,,7,A,confirmed
181,20.21,2,B,confirmed
182,93.22,1,A,confirmed
183,88.96,9,C,confirmed
184,33.21,1,C,confirmed
185,69.4,8,B,confirmed
186,83.55,2,C,confirmed
187,59.97,8,C,confirmed
188,57.67,3,B,confirmed
189,31.77,6,C,confirmed
190,,3,C,confirmed
191,90.75,7,C,confirmed
192,91.04,9,A,confirmed
193,66.98,2,B,confirmed
194,40.51,5,B,confirmed
195,41.43,6,B,confirmed
196,75.34,4,A,confirmed
197,90.74,4,A,confirmed
198,89.84,4,B,confirmed
199,80.19,2,A,confirmed
200,,4,B,confirmed
201,17.57,1,A,confirmed
202,24.55,6,C,confirmed
203,90.87,1,C,confirmed
204,64.58,6,B,confirmed
205,10.83,1,A,confirmed
206,19.13,6,A,confirmed
207,69.72,8,C,confirmed
208,10.46,2,C,confirmed
209,24.47,2,A,confirmed
210,,4,A,confirmed
211,72.27,3,A,confirmed
212,68.68,4,A,confirmed
213,30.18,7,A,confirmed
214,74.1,1,A,confirmed
215,31.35,6,B,confirmed
216,39.29,3,A,confirmed
217,77.18,7,C,confirmed
218,68.47,2,B,confirmed
219,86.43,2,A,confirmed
220,,4,C,confirmed
221,61.15,1,B,confirmed
222,18.43,3,C,confirmed
223,43.09,9,A,confirmed
224,33.87,7,A,confirmed
225,31.96,7,A,confirmed
226,97.57,4,A,confirmed
227,45.38,2,B,confirmed
228,90.28,4,B,confirmed
229,66.8,6,C,confirmed
230,,3,A,confirmed
231,55.24,1,C,confirmed
232,61.92,8,B,confirmed
233,54.33,5,A,confirmed
234,27.57,5,A,confirmed
235,75.02,4,B,confirmed
236,35.27,6,B,confirmed
237,12.19,3,B,confirmed
238,68.09,9,B,confirmed
239,25.94,5,B,confirmed
240,,3,A,confirmed
241,95.85,1,B,confirmed
242,92.34,6,A,confirmed
243,43.31,2,A,confirmed
244,11.39,3,B,confirmed
245,93.55,1,B,confirmed
246,48.54,9,A,confirmed
247,97.0,8,B,confirmed
248,96.73,2,B,confirmed
249,86.77,8,B,confirmed
250,,9,C,confirmed
251,44.66,1,A,confirmed
252,86.6,5,C,confirmed
253,38.52,8,B,confirmed
254,25.25,2,C,confirmed
255,60.11,4,B,confirmed
256,94.25,7,C,confirmed
257,72.64,3,B,confirmed
258,61.31,5,C,confirmed
259,18.75,8,C,confirmed
260,,3,C,confirmed
261,99.1,4,A,confirmed
262,22.61,9,C,confirmed
263,56.65,7,A,confirmed
264,88.96,1,B,confirmed
265,76.67,4,C,confirmed
266,72.73,4,B,confirmed
267,73.22,9,B,confirmed
268,42.35,6,C,confirmed
269,36.42,9,A,confirmed
270,,6,C,confirmed
271,82.91,6,B,confirmed
272,88.04,5,B,confirmed
273,92.19,5,C,confirmed
274,56.02,2,A,confirmed
275,55.14,8,A,confirmed
276,81.85,8,B,confirmed
277,68.5,1,B,confirmed
278,73.18,8,A,confirmed
279,81.62,5,C,confirmed
280,,2,B,confirmed
281,40.42,2,A,confirmed
282,43.8,6,B,confirmed
283,18.46,9,C,confirmed
284,62.05,1,A,confirmed
285,13.23,6,B,confirmed
286,51.9,9,C,confirmed
287,58.84,8,B,confirmed
288,35.79,6,C,confirmed
289,63.17,3,C,confirmed
290,,8,A,confirmed
291,13.36,9,C,confirmed
292,84.03,1,B,confirmed
293,42.42,9,C,confirmed
294,21.44,6,C,confirmed
295,57.0,6,A,confirmed
296,79.3,4,C,confirmed
297,29.42,1,C,confirmed
298,66.06,8,B,confirmed
299,17.68,2,A,confirmed
300,,1,A,confirmed
301,57.82,2,A,confirmed
302,58.66,1,C,confirmed
303,67.37,1,A,confirmed
304,75.35,9,C,confirmed
305,97.83,1,C,confirmed
306,56.47,4,B,confirmed
307,39.07,6,B,confirmed
308,81.57,7,B,confirmed
309,34.37,2,B,confirmed
310,,6,B,confirmed
311,17.06,7,C,confirmed
312,12.28,2,C,confirmed
313,96.64,2,A,confirmed
314,85.24,7,C,confirmed
315,72.64,1,C,confirmed
316,46.81,8,B,confirmed
317,25.6,3,C,confirmed
318,24.08,6,B,confirmed
319,32.52,9,A,confirmed
320,,6,A,confirmed
321,74.31,9,C,confirmed
322,69.42,7,A,confirmed
323,35.19,9,C,confirmed
324,95.94,2,A,confirmed
325,76.41,8,B,confirmed
326,59.89,8,B,confirmed
327,65.05,2,B,confirmed
328,47.76,4,B,confirmed
329,32.3,7,C,confirmed
330,,4,A,confirmed
331,78.21,4,C,confirmed
332,11.3,6,B,confirmed
333,20.45,6,C,confirmed
334,14.14,3,A,confirmed
335,13.67,9,C,confirmed
336,86.99,2,A,confirmed
337,73.33,6,C,confirmed
338,52.68,7,A,confirmed
339,18.81,9,A,confirmed
340,,3,B,confirmed
341,52.61,3,A,confirmed
342,25.59,7,B,confirmed
343,49.05,4,B,confirmed
344,45.87,8,B,confirmed
345,65.43,7,C,confirmed
346,67.16,5,C,confirmed
347,14.08,7,C,confirmed
348,43.72,3,C,confirmed
349,66.33,2,A,confirmed
350,,6,A,confirmed
351,87.08,2,C,confirmed
352,69.28,3,A,confirmed
353,24.66,6,A,confirmed
354,16.35,5,B,confirmed
355,67.82,8,B,confirmed
356,12.39,9,B,confirmed
357,62.72,3,B,confirmed
358,94.62,3,A,confirmed
359,61.79,3,C,confirmed
360,,6,A,confirmed
361,67.9,1,A,confirmed
362,51.24,7,A,confirmed
363,59.11,1,B,confirmed
364,94.73,5,B,confirmed
365,44.75,8,B,confirmed
366,96.51,4,C,confirmed
367,91.48,5,A,confirmed
368,27.62,4,C,confirmed
369,16.24,4,B,confirmed
370,,8,C,confirmed
371,11.64,2,A,confirmed
372,18.5,1,A,confirmed
373,71.47,3,B,confirmed
374,16.41,9,B,confirmed
375,38.71,4,C,confirmed
376,86.04,5,B,confirmed
377,12.09,2,B,confirmed
378,83.3,4,A,confirmed
379,35.37,2,B,confirmed
380,,2,B,confirmed
381,72.71,4,A,confirmed
382,66.6,6,A,confirmed
383,88.97,7,C,confirmed
384,76.16,3,B,confirmed
385,82.31,3,A,confirmed
386,35.38,6,C,confirmed
387,25.97,3,C,confirmed
388,77.56,2,B,confirmed
389,82.62,8,B,confirmed
390,,5,C,confirmed
391,47.14,1,A,confirmed
392,43.48,3,C,confirmed
393,79.88,8,B,confirmed
394,40.67,4,A,confirmed
395,93.77,7,A,confirmed
396,87.26,2,C,confirmed
397,48.61,7,B,confirmed
398,77.58,5,C,confirmed
399,77.91,5,C,confirmed
400,,6,C,confirmed
401,91.23,9,A,confirmed
402,55.47,6,A,confirmed
403,84.38,8,B,confirmed
404,38.8,7,B,confirmed
405,90.6,9,C,confirmed
406,45.03,4,C,confirmed
407,10.98,2,C,confirmed
408,91.48,7,B,confirmed
409,18.22,6,A,confirmed
410,,1,A,confirmed
411,95.51,9,C,confirmed
412,95.55,9,C,confirmed
413,61.61,2,C,confirmed
414,66.87,3,C,confirmed
415,50.36,5,B,confirmed
416,36.39,5,A,confirmed
417,39.58,1,C,confirmed
418,70.53,8,B,confirmed
419,77.71,8,C,confirmed
420,,4,C,confirmed
421,81.07,7,A,confirmed
422,18.21,3,C,confirmed
423,54.5,6,A,confirmed
424,15.18,9,A,confirmed
425,59.46,1,A,confirmed
426,49.74,5,B,confirmed
427,89.89,4,B,confirmed
428,41.58,8,A,confirmed
429,20.54,1,C,confirmed
430,,9,A,confirmed
431,78.54,6,C,confirmed
432,65.64,4,A,confirmed
433,19.1,9,C,confirmed
434,17.57,5,B,confirmed
435,73.09,5,C,confirmed
436,16.55,5,A,confirmed
437,83.97,1,B,confirmed
438,73.56,1,C,confirmed
439,17.32,8,C,confirmed
440,,8,C,confirmed
441,98.8,6,C,confirmed
442,43.68,4,C,confirmed
443,43.36,2,B,confirmed
444,83.15,2,B,confirmed
